name;domain;values;grid_start;grid_step;grid_count;default_lb;default_ub;default_fixed;role;value_type;lookup_key;
geom_span_mm;grid;;4000;500;9;0;8;4;fixed;float;;
geom_b_mm;grid;;100;10;191;0;190;142;fixed;float;;
geom_h_ges_mm;grid;;100;10;91;0;90;55;fixed;float;;
geom_hx_hges_ratio;catalog;0.3333 | 0.25 | 0.2;;;;0;2;2;fixed;float;;
geom_t_mm;grid;;20;5;17;0;16;16;var;float;;
geom_nt;grid;;1;1;30;0;29;4;var;float;;
geom_dy_mm;grid;;0;10;39;0;38;3;var;float;;
geom_t_infill_mm;grid;;0;10;11;0;10;0;fixed;float;;
geom_t_screed_mm;grid;;45;1;36;0;35;0;fixed;float;;
geom_t_insulation_mm;grid;;12;1;29;0;28;0;fixed;float;;
loads_custom;grid;"0; 0; 0; 0";0;0;1;0;0;0;fixed;float;;"Format: ""Load value; psi_0; psi_1; psi_2"""
loads_category;catalog;A1 | A2 | A3 | B1 | B2 | B3 | C1 | C2 | C3 | C4 | C5 | C6 | D1 | D2 | D3 | E1 | E2 | E3;;;;0;17;4;fixed;str;;
loads_N_kN;grid;;-200;10;41;0;40;20;fixed;float;;
mat_conc_fck;catalog;12. | 16. | 20. | 25. | 30. | 35. | 40. | 45. | 50. | 55. | 60. | 70. | 80. | 90. | 100.; ;;;3;14;3;var;float;;
mat_conc_cost_eur_m3;catalog;70. | 72.5 | 75. | 80. | 85. | 90. | 100. | 110. | 120. | 130. | 140. | 150. | 160. | 170. | 180.;;;;;;;lookup;float;mat_conc_fck;
mat_conc_gwp_kgco2e_m3;catalog;140. | 159. | 178. | 197. | 219. | 244. | 265. | 286. | 300. | 314. | 328. | 342. | 356. | 370. | 384.;;;;;;;lookup;float;mat_conc_fck;
mat_reinf_id;catalog;solidian GRID Q85/85-CCE-21 | solidian GRID Q95/95-CCE-38 | solidian GRID Q142/142-CCE-25;;;;0;2;2;fixed;str;;
mat_reinf_cost_crfp/conc;catalog;0.5765 | 1. | 10. | 20. | 30. | 40.;;;;0;5;0;fixed;float;;Ratio of cost of steel/concrete (C30/37), 0.5765 = 49€/85€
mat_reinf_gwp_crfp/conc;catalog;0.1064| 10. | 15. | 20. | 25. | 30.;;;;0;5;0;fixed;float;;Ratio of global warming potential (GWP) of steel/concrete (C30/37), 0.1064 = 23.3 kg / 219 kg
mat_infill_id;catalog;generic_infill;;;;0;0;0;fixed;str;;
mat_insu_id;catalog;lightweight_mineral_wool; ;;;0;0;0;fixed;str;;
mat_screed_id;catalog;generic_screed; ;;;0;0;0;fixed;str;;
reinf_kap_t_percent;grid;;0;1;81;0;80;60;var;float;;
reinf_a_tex_mm2;grid;;0.5;0.5;400;0;399;19;var;float;;
insu_mod_damp;grid;;0.01;0.01;1;0;0;0;fixed;float;;
insu_rw_req_db;catalog;53. | 54. | 55.;;;;0;2;1;fixed;float;;
insu_lnw_max_db;catalog;46.  | 53.;;;;0;1;0;fixed;float;;
defl_sls_case;catalog;a | b;;;;0;1;1;fixed;str;;
defl_max_defl_limit;catalog;250. | 500.;;;;0;1;0;fixed;float;;
defl_max_announce_failure;catalog;100.;;;;0;0;0;fixed;float;;
f_beam_theory;grid;;1;1;10;0;9;4;fixed;float;;
weight_omega_1_gwp;grid;;0.1;0.1;100;0;99;98;fixed;float;;
weight_omega_2_cost;grid;;0.1;0.1;100;0;99;9;fixed;float;;
weight_weighted_equation;catalog;sum | product;;;;0;1;1;fixed;str;;
cost_rebar;catalog;length | weight;;;;0;1;1;fixed;str;;
